"OWNER","TABLE_NAME","COLUMN_NAME","FIELDNAME","FIELDVALUE","XLATLONGNAME","XLATSHORTNAME"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","HON","Honours","Honours"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","IE","Industrial Experience","IE"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","MAS","Masters","Masters"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","P1","Professional Year 1","Prof 1"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","P2","Professional Year 2","Prof 2"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","P3","Professional Year 3","Prof 3"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","P4","Professional Year 4","Prof 4"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","PHD","PhD","PhD"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","00","Not Set","Not Set"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","01","First Year","1st Year"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","02","Second Year","2nd Year"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","03","Third Year","3rd Year"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","04","Fourth Year","4th Year"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","05","Fifth Year","5th Year"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","06","Sixth Year","6th Year"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","09","Unclassified","Unclass"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","10","Freshman","Freshman"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","20","Sophomore","Sophomore"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","30","Junior","Junior"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","40","Senior","Senior"
"CU_BLD_STDNT","CU_ADM_MAIN_FINAL_BLD","ACADEMIC_LEVEL","ACADEMIC_LEVEL","45","Senior Fifth Year","Senior 5th"
